date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:58	312/312	---MCZ	200	added ('OK')	text/plain	etag:W/%22230-aU1nN4X3mdXHq7+KekgS9vHmIPQ%22	https://www.massaliachefprive.com/robots.txt		(from )
10:23:58	2443965/2443965	---MCZ	200	added ('OK')	text/html	etag:W/%22e1b71f83025c2ba532717c4ef514d349%22	https://www.massaliachefprive.com/chef-a-domicile-traiteur	./mirror-massalia/www.massaliachefprive.com/chef-a-domicile-traiteur.html	(from )
10:23:59	45215/45215	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202026%2009:23:58%20GMT	https://static.wixstatic.com/media/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2~mv2.png	./mirror-massalia/static.wixstatic.com/media/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2_mv2.png	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
10:23:59	3308/3308	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202026%2009:23:59%20GMT	https://static.wixstatic.com/media/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2~mv2.png	./mirror-massalia/static.wixstatic.com/media/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2_mv2.png	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
10:24:01	40886/40886	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202026%2009:24:00%20GMT	https://static.wixstatic.com/media/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2~mv2.png	./mirror-massalia/static.wixstatic.com/media/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/d01ef7_9232504c8d7e4f7e832d3e2ecfc0a4b2_mv2.png	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
10:24:02	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	./mirror-massalia/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
10:24:06	2441321/2441321	---MCZ	200	added ('OK')	text/html	etag:W/%22541d803965521c6f0b74dfa48e811377%22	https://www.massaliachefprive.com/en/chef-a-domicile-traiteur	./mirror-massalia/www.massaliachefprive.com/en/chef-a-domicile-traiteur.html	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
10:24:06	3638/3638	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20May%202026%2009:24:06%20GMT	https://static.wixstatic.com/media/d01ef7_a6a39d71d7ae4cae8f8a64819b8a4140~mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/d01ef7_a6a39d71d7ae4cae8f8a64819b8a4140~mv2.jpg	./mirror-massalia/static.wixstatic.com/media/d01ef7_a6a39d71d7ae4cae8f8a64819b8a4140_mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/d01ef7_a6a39d71d7ae4cae8f8a64819b8a4140_mv2.jpg	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
10:24:07	8587/8587	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202026%2009:24:07%20GMT	https://static.wixstatic.com/media/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888~mv2.png/v1/crop/x_313,y_77,w_448,h_381/fill/w_71,h_61,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888~mv2.png	./mirror-massalia/static.wixstatic.com/media/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888_mv2.png/v1/crop/x_313,y_77,w_448,h_381/fill/w_71,h_61,al_c,q_85,usm_0.66_1.00_0.01,enc_avif/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888_mv2.png	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
10:24:08	13188/13188	---M--	200	added ('OK')	image/png	date:Thu,%2014%20May%202026%2009:24:08%20GMT	https://static.wixstatic.com/media/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888~mv2.png/v1/crop/x_8,y_440,w_1043,h_272/fill/w_145,h_40,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888~mv2.png	./mirror-massalia/static.wixstatic.com/media/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888_mv2.png/v1/crop/x_8,y_440,w_1043,h_272/fill/w_145,h_40,al_c,q_85,usm_0.66_1.00_0.01,enc_avi/d01ef7_7c94ebef8ada41db99dcb6ca6c54d888_mv2.png	(from https://www.massaliachefprive.com/chef-a-domicile-traiteur)
